lon,lat,subbasin,n_years_days,mhw_days_sen_per_decade,mhw_days_mk_p,mhw_days_mk_tau,mhw_days_sig_p05,n_years_intensity,intensity_sen_per_decade,intensity_mk_p,intensity_mk_tau,intensity_sig_p05
92.875,19.125,Northern BoB,31,20.588235294117645,0.0002321710336612437,0.4666666666666667,True,26,-0.00903409090909095,0.8947871042097533,-0.021538461538461538,False
93.125,7.875,Southern BoB,31,15.0,5.4986512661781006e-05,0.5096774193548387,True,24,-0.006578282828282753,0.823349012100195,-0.036231884057971016,False
93.125,14.875,Central BoB,31,25.555555555555554,0.0012752728716360906,0.40860215053763443,True,26,0.03401785714285718,0.31062506239573384,0.14461538461538462,False
93.125,17.625,Northern BoB,31,18.333333333333332,0.00022862076112706298,0.4666666666666667,True,26,0.02043478260869562,0.6277372683701175,0.07076923076923076,False
93.625,9.125,Southern BoB,31,17.142857142857142,9.907701990607976e-05,0.4924731182795699,True,25,-0.050618872549019533,0.2524605042504313,-0.16666666666666666,False
93.625,15.625,Central BoB,31,27.82608695652174,4.25905498242507e-05,0.5182795698924731,True,26,0.0205882352941176,0.4274889995990474,0.11384615384615385,False
93.875,16.375,Northern BoB,31,25.76923076923077,5.7623400672612846e-05,0.5075268817204301,True,24,0.008326923076923,0.9012978441563575,0.021739130434782608,False
94.375,6.625,Southern BoB,31,16.666666666666668,4.247227974074619e-05,0.5161290322580645,True,23,-0.006500000000000006,0.9158665384265181,-0.019762845849802372,False
94.375,10.375,Central BoB,31,15.769230769230768,0.002164280250780859,0.38064516129032255,True,20,-0.054287660256410256,0.12728869225659967,-0.25263157894736843,False
94.625,5.125,Southern BoB,31,10.833333333333332,0.0008022440250803342,0.4236559139784946,True,27,-0.06367588932806321,0.03709735848582496,-0.28774928774928776,True
94.625,11.625,Central BoB,31,20.833333333333336,5.264564947515815e-05,0.5118279569892473,True,26,-0.028749999999999887,0.4806051289858302,-0.10153846153846154,False
